match_date,team_1,team_2,t1_points,t2_points,team_1_elo,team_2_elo
2016-04-17,NAVI,NIP,0,2,1657.022813441906,1589.9637626519363
2016-04-19,VIRTUS.PRO,FAZE,1,2,1419.2900960638187,1380.6612782986433
2016-04-19,ASTRALIS,FAZE,16,12,1570.1208869166908,1372.3205471037738
2016-04-19,FAZE,ASTRALIS,9,16,1364.5582453071952,1577.8831887132694
2016-04-19,MOUSESPORTS,ENVY,16,8,1513.3943234357428,1462.9422736846043
2016-04-19,ENVY,MOUSESPORTS,19,22,1449.249482037768,1527.087115082579
2016-04-20,FNATIC,FAZE,6,16,1633.5783194269939,1391.6339870350394
2016-04-20,FAZE,FNATIC,16,10,1417.2669429181185,1607.9453635439147
2016-04-20,NAVI,G2,19,16,1664.9643676344,1456.5364335104705
2016-04-20,ENVY,FAZE,2,0,1463.7807778328824,1402.7356471230041
2016-04-20,G2,NAVI,16,3,1481.1281314657242,1640.3726696791464
2016-04-21,ENVY,NIP,10,16,1453.3490233600514,1600.3955171247674
2016-04-21,NIP,ENVY,16,3,1610.0010969887978,1443.743443496021
2016-04-21,DIGNITAS,FAZE,16,9,1533.5563888184863,1392.0579688092416
2016-04-21,VIRTUS.PRO,MOUSESPORTS,5,16,1408.100943124709,1538.2762680216888
2016-04-21,HELLRAISERS,GAMBIT,2,0,1457.382261495993,1487.7983459401262
2016-04-21,FAZE,DIGNITAS,16,7,1414.2363387293892,1511.3780188983387
2016-04-21,MOUSESPORTS,VIRTUS.PRO,15,19,1516.5470865312127,1429.830124615185
2016-04-21,E-FRAG.NET,HELLRAISERS,0,2,1447.2821969252234,1473.6670484049494
2016-04-23,VIRTUS.PRO,NIP,2,0,1453.4557002017755,1586.3755214022074
2016-04-24,FNATIC,FAZE,1,2,1583.8469718469357,1438.3347304263682
2016-04-24,VIRTUS.PRO,MOUSESPORTS,0,2,1440.3296452080672,1529.673141524921
2016-04-25,ASTRALIS,VIRTUS.PRO,2,0,1587.860072472758,1430.3527614485786
2016-04-25,FNATIC,VIRTUS.PRO,1,2,1561.2049142040523,1452.994819091462
2016-04-26,G2,NIP,16,13,1501.8319446615976,1565.671708206334
2016-04-26,ENVY,FAZE,14,16,1427.4943831737166,1454.5837907486725
2016-04-26,MOUSESPORTS,NAVI,16,10,1550.6052622979846,1619.4405489060828
2016-04-26,NIP,G2,16,10,1578.7644240509849,1488.7392288169467
2016-04-26,FAZE,ENVY,16,7,1469.3387992794546,1412.7393746429345
2016-04-26,FNATIC,ASTRALIS,22,19,1578.4300269121788,1570.6349597646315
2016-04-26,LUMINOSITY,SELFLESS,16,14,1630.47877151231,1489.307712662373
2016-04-26,SELFLESS,LUMINOSITY,6,16,1479.473250298084,1640.313233876599
2016-04-26,ASTRALIS,FNATIC,16,5,1586.993875651886,1562.0711110249244
2016-04-26,NAVI,MOUSESPORTS,16,10,1632.3114029308545,1537.734408273213
2016-04-28,ASTRALIS,G2,2,0,1598.585968527933,1477.1471359408997
